0	188088
90	23383
205	8007
300	5930
400	4360
500	3206
600	2357
700	1733
800	1237
921	1861
1000	1861
1200	1861
1500	1864
2041	14474
2800	14474
3700	14474
4700	14462
5921	7310
6400	7310
7000	7310
7800	7310
9000	7310
11000	7310
14000	7310
18000	7310
25000	7310
35000	7310
50000	7310
100000	7310
300000	7310
